true_stress	true_strain
NAN	0
7037713	0.0001025911042233929
7038435	0.0002051716874120757
7743071.5	0.0003077417495660484
8447852	0.000410301290685311
8448718	0.0005128502962179482
8449585	0.0006153888534754515
9154655	0.0007179168169386685
9155593	0.0008204343030229211
9860878	0.0009229412535205483
10566309	0.001025437610223889
10567392	0.00112792372237891
11273053	0.001230399240739644
11978830	0.001332864048890769
11980057	0.001435318612493575
12686094	0.001537762465886772
12687394	0.001640196074731648
13393648	0.001742618973366916
14100045	0.00184503139462322
14101489	0.001947433338500559
14807959	0.002049824921414256
14809475	0.002152205910533667
15516306	0.002254576655104756
16223282	0.002356936689466238
16930402	0.002459286479279399
17637666	0.002561625326052308
17639470	0.002663953928276896
17641276	0.002766272285953164
18348684	0.002868579933419824
19056380	0.002970877336338162
19764224	0.003073163796216249
19766244	0.003175440244376659
20474304	0.003277706215158105
21182506	0.003379961475729942
21890708	0.003482206491753459
22599200	0.003584441263228655
22601510	0.003686665091663599
23310218	0.003788878675550222
24019070	0.003891081782057881
24021526	0.00399327464401722
24730592	0.004095456562936306
25439806	0.004197628702968359
26149022	0.004299789667129517
26858522	0.004401941318064928
26861264	0.004504081327468157
27570984	0.004606211557984352
28280848	0.004708331078290939
28990856	0.004810440354049206
28993816	0.004912539385259151
29703894	0.005014627706259489
30414264	0.005116705317050219
31124778	0.005218773148953915
31127954	0.005320829804986715
32546238	0.00542287714779377
33257038	0.005524913314729929
33968128	0.005626939237117767
33971596	0.005728954449295998
34682904	0.005830959416925907
35394356	0.005932954605668783
36105948	0.006034938618540764
36817688	0.006136912386864424
37529432	0.006238875910639763
38241460	0.006340828724205494
39661908	0.006442772224545479
39665952	0.006544704083353281
40378412	0.006646625697612762
41090876	0.006748537067323923
41803628	0.006850438192486763
42516524	0.006952329073101282
43229564	0.007054209243506193
44651384	0.007156080100685358
45364780	0.00725793931633234
46078328	0.007359788287431002
46083020	0.007461627945303917
47505856	0.00756345596164465
47510692	0.007665273733437061
48224744	0.007767081260681152
48938796	0.007868878543376923
49653136	0.007970666512846947
50367620	0.008072442375123501
51082248	0.008174208924174309
51797016	0.008275965228676796
51802288	0.008377710357308388
53226852	0.008479446172714233
53232268	0.008581170812249184
53947544	0.008682885207235813
54662968	0.008784590288996696
55378536	0.00888628326356411
56094104	0.008987966924905777
56809956	0.009089640341699123
56815728	0.009191302582621574
57531804	0.009292955510318279
58248020	0.009394598193466663
58964380	0.009496230632066727
59680888	0.00959785096347332
59686952	0.009699462912976742
60403532	0.009801063686609268
60409668	0.009902653284370899
61126608	0.01000423450022936
61843692	0.01010580360889435
62560920	0.01020736340433359
62567272	0.01030891295522451
63284712	0.01041045226156712
63291136	0.0105119813233614
63297560	0.01061349827796221
64015152	0.01071500685065985
64021648	0.01081650517880917
64739600	0.01091799233108759
64746168	0.01101946923881769
65464336	0.01112093590199947
65470976	0.01122239232063293
65477620	0.01132383942604065
65484260	0.01142527535557747
66202788	0.01152670104056597
66209504	0.01162811554968357
66216216	0.011729521676898
66222932	0.01183091662824154
66941820	0.01193230040371418
66948608	0.01203367579728365
67667568	0.01213503815233707
67674424	0.0122363930568099
67681288	0.01233773678541183
67688144	0.01243906933814287
67695000	0.01254039350897074
67701864	0.01264170464128256
68421464	0.01274300739169121
68428400	0.01284430082887411
68435328	0.01294558122754097
68442256	0.01304685324430466
69162232	0.01314811408519745
69169232	0.01324936561286449
69176240	0.01335060689598322
69183240	0.01345183700323105
69190240	0.01355305779725313
69910648	0.01365426648408175
69917720	0.01375546678900719
69924800	0.01385665684938431
69931872	0.01395783573389053
70652640	0.01405900530517101
70659784	0.01416016463190317
70666936	0.01426131371408701
70674080	0.01436245162039995
71395208	0.01446358021348715
71402432	0.01456469856202602
70695528	0.014665805734694
71416872	0.01476690359413624
71424088	0.01486799214035273
71431304	0.01496906764805317
71438528	0.01507013570517302
72160088	0.01517119072377682
72167376	0.01527223829180002
72174672	0.01537327468395233
72181960	0.01547429990023375
72189256	0.01557531673461199
72196544	0.01567632146179676
72203840	0.01577731780707836
72211128	0.01587830297648907
72933488	0.01597927697002888
72225712	0.01608024165034294
72948216	0.01618119701743126
72955576	0.01628214120864868
72962944	0.01638307608664036
72970304	0.01648399978876114
73693168	0.01658491417765617
72985032	0.01668581739068031
73708040	0.01678671129047871
73715472	0.01688759587705135
73722912	0.01698846928775311
73730344	0.01708932965993881
73737784	0.01719018444418907
73745216	0.01729102618992329
74468728	0.0173918604850769
74476240	0.01749268360435963
74483744	0.01759349182248116
74491256	0.01769429445266724
74498760	0.01779508776962757
75222696	0.01789586991071701
75230280	0.0179966427385807
75237864	0.01809740252792835
75245440	0.0181981548666954
75253024	0.01829889416694641
75260600	0.01839962601661682
75268184	0.01850034669041634
75992560	0.01860105618834496
76000208	0.01870175823569298
76007864	0.0188024491071701
76015520	0.01890312880277634
76023168	0.01900379918515682
76030824	0.01910445839166641
76038472	0.01920510828495026
76046128	0.01930574886500835
76053784	0.01940637826919556
76061432	0.01950699836015701
76069088	0.01960760541260242
76794472	0.01970820501446724
76802200	0.01980879530310631
76809920	0.01990937441587448
77535600	0.02000994421541691
76825376	0.02011050097644329
76833096	0.02021104842424393
77558992	0.02031158842146397
76848552	0.02041211724281311
77574584	0.02051263675093651
77582384	0.02061314322054386
77590176	0.02071364223957062
77597976	0.02081413008272648
77605776	0.02091460861265659
78332240	0.02101507596671581
78340112	0.02111553214490414
78347984	0.02121598087251186
78355848	0.0213164184242487
78363720	0.02141684666275978
78371592	0.02151726558804512
78379464	0.02161766961216927
79106504	0.02171806804835796
79114448	0.02181845530867577
79122392	0.02191883325576782
79130336	0.02201920002698898
79138272	0.02211955562233925
79146216	0.02221990190446377
79154160	0.02232023887336254
79881640	0.02242056652903557
79889648	0.02252088487148285
79897664	0.02262119017541409
79905680	0.02272148616611958
79913688	0.02282177284359932
79921704	0.02292204834520817
79929720	0.02302231639623642
79937736	0.02312257140874863
80666000	0.02322281897068024
80674088	0.02332305535674095
79961776	0.02342328242957592
80690264	0.02352349832653999
80698344	0.02362370118498802
80706432	0.0237238984555006
80714520	0.02382408455014229
80722608	0.02392426133155823
80730688	0.02402442879974842
80738776	0.02412458136677742
81467848	0.02422472834587097
81476000	0.02432486414909363
81484160	0.02442499063909054
81492320	0.0245251078158617
81500480	0.02462521195411682
81508640	0.02472530864179134
82238208	0.02482539415359497
82246440	0.02492547035217285
82254672	0.02502553723752499
82262904	0.02512558922171593
82271136	0.02522563561797142
82279360	0.02532567270100117
83009440	0.02542569860816002
82295824	0.02552571520209312
83026048	0.02562571875751019
83034352	0.02572571486234665
83042656	0.02582569979131222
83050952	0.02592567726969719
83059256	0.02602564357221127
83067560	0.0261255968362093
83075864	0.02622554264962673
83084168	0.02632547914981842
83815040	0.02642540447413921
83823416	0.02652532048523426
83831792	0.02662522345781326
83840168	0.02672512084245682
83848536	0.02682500705122948
83856912	0.02692488394677639
83865288	0.02702474966645241
83873664	0.02712460234761238
83882040	0.02722444944083691
83890416	0.02732428535819054
84621936	0.02742411196231842
83907160	0.02752392925322056
84638832	0.0276237353682518
84647280	0.027723528444767
84655720	0.02782331593334675
84664168	0.0279230922460556
84672616	0.02802285924553871
84681064	0.02812261506915092
84689512	0.02822236344218254
84697960	0.02832209877669811
84706408	0.02842182666063309
84714856	0.02852153964340687
84795824	0.0286212470382452
83138528	0.02872094511985779
83364120	0.02882063202559948
83300032	0.02892030961811543
83453136	0.02901997603476048
83606424	0.02911963127553463
83687168	0.02921927906572819
83840496	0.02931891568005085
83921280	0.02941854298114777
84002072	0.02951816096901894
84155480	0.02961776591837406
84236312	0.02971736341714859
84317160	0.02981695160269737
84398168	0.02991652861237526
84551520	0.03001609817147255
84559936	0.03011565282940865
84640840	0.03021520003676414
84794400	0.03031473979353905
84730344	0.03041426837444305
84883792	0.03051378577947617
84964904	0.03061329200863838
84973360	0.03071279078722
85126872	0.03081228025257587
85135344	0.03091175854206085
85216360	0.03101122751832008
85297528	0.03111068345606327
85378576	0.03121013194322586
85387064	0.0313095711171627
85395552	0.03140900284051895
85621936	0.031508419662714
85630448	0.03160782903432846
85856888	0.03170722723007202
85938032	0.03180661797523499
85873960	0.03190599754452705
86027728	0.03200536593794823
86181672	0.0321047268807888
86335496	0.03220407664775848
86344072	0.03230341523885727
86280008	0.03240274637937546
86434032	0.03250206634402275
86660744	0.03260137885808945
86887352	0.03270068019628525
86895976	0.03279997035861015
86831920	0.03289924934506416
87058760	0.03299852460622787
87140096	0.03309778124094009
87367008	0.03319703415036201
87521248	0.03329627588391304
87529936	0.03339550644159317
87538624	0.0334947295486927
87692768	0.03359394147992134
87774208	0.03369314596056938
87928560	0.03379233554005623
88082928	0.03389151394367218
88091664	0.03399069234728813
87809040	0.03408985212445259
88181920	0.03418900817632675
88263448	0.03428814932703972
88272192	0.03438727930188179
88499488	0.03448640555143356
88435448	0.03458551689982414
88225632	0.03468462452292442
88598616	0.03478371724486351
88534576	0.0348827987909317
88616176	0.03498187661170959
88770784	0.03508093953132629
88779584	0.0351799950003624
88861232	0.0352790392935276
88797168	0.03537807613611221
88805960	0.03547710180282593
89106408	0.03557611256837845
89334032	0.03567512333393097
89342880	0.035774115473032
89351720	0.03587310388684273
89360568	0.03597207739949226
89442320	0.0360710471868515
89743000	0.03617000207304955
89897888	0.03626894578337669
89833696	0.03636788576841354
89842584	0.0364668145775795
90070464	0.03656573221087456
90079376	0.03666463866829872
90307328	0.03676353767514229
90462344	0.03686242178082466
90106104	0.03696130216121674
90480232	0.03706017136573792
90708304	0.0371590293943882
90717272	0.03725787997245789
90872256	0.03735671564936638
91027408	0.03745555132627487
91109424	0.03755436837673187
91118432	0.03765317797660828
90908176	0.03775198012590408
91209472	0.0378507673740387
90853088	0.03794955089688301
