true_stress_7	true_strain_7
0	0
0.5029980182463184	0.0001060467614564528
1.006102713457872	0.0002120822781897461
1.509314085634659	0.0003181065525843072
2.012632134776682	0.0004241195870238049
2.51605686088394	0.0005301213838911501
3.019588263956432	0.0006361119455684962
3.523226343994158	0.0007420912744372386
4.026971100997121	0.0008480593728780163
4.530822534965317	0.0009540162432707113
5.03478064589875	0.001059961887994671
5.538845433797414	0.001165896309427821
6.043016898661316	0.001271819509947997
6.547295040490451	0.001377731491932058
7.051679859284821	0.001483632257756106
7.556171355044427	0.001589521809795489
8.060769527769267	0.001695400150424803
8.56547437745934	0.001801267282017885
9.07028590411465	0.001907123206947823
9.575204107735194	0.002012967927586948
10.08022898832098	0.002118801446306839
10.58536054587199	0.002224623765478323
11.09059878038823	0.002330434887471473
11.59594369186972	0.002436234814655611
12.10139528031644	0.002542023549399305
12.60695354572839	0.002647801094070373
13.11261848810558	0.002753567451035883
13.618390107448	0.002859322622662149
14.12426840375566	0.002965066611314737
14.63025337702855	0.003070799419358681
15.13634502726668	0.003176521049157604
15.64254335447004	0.003282231503075041
16.14884835863863	0.003387930783473559
16.65526003977246	0.003493618892714972
17.16177839787153	0.003599295833160349
17.66840343293583	0.003704961607170008
18.17513514496537	0.003810616217103522
18.68197353396014	0.003916259665319711
19.18891859992014	0.004021891954176651
19.69597034284537	0.004127513086031672
20.20312876273586	0.004233123063241355
20.71039385959156	0.004338721888161534
21.2177656334125	0.004444309563147298
21.72524408419868	0.00454988609055299
22.2328292119501	0.004655451472732207
22.74052101666675	0.004761005712037801
23.24831949834862	0.004866548810821878
23.75622465699575	0.004972080771436021
24.2642364926081	0.005077601596230408
24.77235500518569	0.005183111287555131
25.28058019472851	0.005288609847759322
25.78891206123657	0.005394097279191368
26.29735060470986	0.00549957358419891
26.83436680849795	0.005589417286575845
27.85719296880242	0.005724398598103983
27.86095291547786	0.005859361692136654
28.544295872508	0.005994306573590571
29.22789183280589	0.006129233247380463
30.25151961097892	0.006264141718419283
30.59556438818793	0.006399031991617341
30.93970087484903	0.006533904071883615
31.96397058162394	0.006668757964124886
32.64848361766138	0.006803593673245939
33.33318007260299	0.006938411204149585
34.01799027756905	0.007073210561736644
34.36281456633946	0.007207991750905962
35.0480154138769	0.0073427547765544
36.07366068730768	0.007477499643576839
36.75927421798885	0.007612226356866184
37.445001451741	0.007746934921313362
37.4500452744016	0.007881625341807324
38.13611734295254	0.008016297623235042
38.82237283040765	0.008150951770481741
39.84934781576827	0.008285587788430008
40.53601598636712	0.008420205681961116
40.8821700340208	0.008554805455954152
41.56908940613395	0.008689387115286232
42.25626196932861	0.0088239506648325
43.28438325710555	0.008958496109466136
43.97196850344394	0.00909302345405835
44.31881035320693	0.009227532703478392
45.0066467541062	0.009362023862593539
45.69473639304039	0.009496496936269109
46.04194507122106	0.009630951929368461
47.07139607092784	0.009765388846752985
47.41887986807409	0.009899807693282116
48.44878938686927	0.01003420847381333
49.13779610154302	0.01016859119320236
49.82698623512095	0.01030295585630232
50.51628988395612	0.01043730246796505
50.86446148321168	0.01057163103304018
51.8955872268515	0.0107059415563754
52.24396402264434	0.01084023404281647
52.5925024503176	0.01097450849720717
53.28270136908715	0.01110876492438932
53.63146907039064	0.01124300332920283
54.32191900286077	0.01137722371648564
54.67091596840378	0.01151142609107372
55.36175684394728	0.01164561045780113
55.71091308556672	0.01177977682149996
56.06023102480138	0.01191392518700037
56.0677509087616	0.01204805555913079
56.75914203162696	0.01218216794271704
57.1087350992179	0.01231626234258367
57.11639254735623	0.01245033876355307
57.4661231791253	0.01258439721044569
57.81587545705782	0.01271843768808002
57.82362460525756	0.01285246020127265
58.17358450126618	0.0129864647548382
58.52363610672688	0.01312045135358938
58.53147696437871	0.01325442000233694
58.88166613401754	0.01338837070588972
58.88955284639542	0.01352230346905462
59.23987958021241	0.01365621829663661
59.24781214731634	0.01379011519343872
59.25574471442027	0.01392399416426207
59.26367728152421	0.01405785521390604
59.61416312238524	0.01419169834716747
59.62214153482452	0.01432552356884189
59.97283509705916	0.01445933088372271
59.98085936422449	0.0145931202966014
60.33169049063728	0.01472689181226753
60.33976061252866	0.01486064543550872
60.34783073442004	0.01499438117111069
60.35590085631142	0.01512809902385724
60.70696125635444	0.01526179899853023
60.71507723297186	0.01539548109990963
61.06627519719301	0.01552914533277347
61.07443702853648	0.01566279170189789
61.08259885987995	0.01579642021205708
61.09076069122342	0.01593003086802335
61.44211763101902	0.01606362367456729
61.79363656893181	0.01619719863645695
62.14524721629669	0.0163307557584591
62.15354660242761	0.01646429504533839
62.16184598855853	0.01659781650185757
62.17014537468945	0.01673132013277747
62.52198529568457	0.01686480594285703
62.53033053654153	0.01699827393685325
62.88230802171477	0.01713172411952128
62.89069911729779	0.01726515649561431
62.8990902128808	0.01739857106988367
62.90748130846381	0.01753196784707876
63.25968806726729	0.0176653468319471
63.61191611538811	0.0177987080292343
63.27656196788542	0.01793205144368428
63.62888170667696	0.01806537708003844
63.63736450232137	0.01819868494303691
63.64584729796579	0.0183319750374177
63.99842088518695	0.01846524736791697
64.00694953555741	0.01859850193926893
64.01547818592788	0.01873173875620594
64.36823519205321	0.01886495782345844
64.37680969714971	0.01899815914575501
64.38538420224621	0.0191313427278223
64.39395870734273	0.01926450857438512
64.74694498709829	0.01939765669016636
64.75556534692085	0.01953078707988702
65.10868919085456	0.01966389974826625
64.07526402502482	0.01966523078547328
